year,ticket,date,title,msg,status
2017,1,2017-08-09,Nombramientos en cargos consulares y diplomáticos por parte del Ministerio de Relaciones Exteriores,El/la usuario/a solicitó acompañamiento para acceder a informac,closed
2017,1,2017-08-09,Nombramientos en cargos consulares y diplomáticos por parte del Ministerio de Relaciones Exteriores,El Ministerio de Relaciones Exteriores entregó los listados de,closed
2017,1,2017-08-09,Nombramientos en cargos consulares y diplomáticos por parte del Ministerio de Relaciones Exteriores,El Ministerio de Relaciones Exteriores entregó los acuerdos de,closed
2017,1,2017-08-10,Nombramientos en cargos consulares y diplomáticos por parte del Ministerio de Relaciones Exteriores,Se agregan los documentos relacionados con el nombramiento del,closed
2017,1,2017-08-10,Nombramientos en cargos consulares y diplomáticos por parte del Ministerio de Relaciones Exteriores,Complemento de mensaje anterior.,closed
2017,2,2017-08-10,PGR: Supuesta violación al derecho de acceso a la justicia,Se presentó usuario para que se le brindara asesoría legal por,closed
2017,2,2017-08-10,PGR: Supuesta violación al derecho de acceso a la justicia,"Al usuario se le recomendó, una vez analizado su caso con la do",closed
2017,2,2017-08-10,PGR: Supuesta violación al derecho de acceso a la justicia,De parte de ALAC se le extendió una carta en la cual consta la,closed
2017,3,2017-08-11,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",Se enviarán peticiones de información a:  - Presidencia de la R,closed
2017,3,2017-08-11,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",El/la usuario/a solicita apoyo para acceder a una guía ciudadan,closed
2017,3,2017-08-11,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014","La guía aducida está contenida en el eje 2, acción 1 (p. 15) de",closed
2017,4,2017-08-15,Cumplimiento de LAIP en algunas municipalidades e información sobre Plan El Salvador Seguro,El/la usuario/a solicitó colaboración para acceder a informació,closed
2017,3,2017-08-15,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",Gracias por las gestiones. Parece que hubo una confusión pues s,closed
2017,3,2017-08-15,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",Gracias por las gestiones. Parece que hubo una confusión pues s,closed
2017,3,2017-08-15,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",Las peticiones de información fueron enviadas en la que se soli,closed
2017,4,2017-08-15,Cumplimiento de LAIP en algunas municipalidades e información sobre Plan El Salvador Seguro,Se enviaron peticiones de información a:  -Instituto de Acceso,closed
2017,4,2017-08-15,Cumplimiento de LAIP en algunas municipalidades e información sobre Plan El Salvador Seguro,Las alcaldía a la que se les peticiono información así como al,closed
2017,3,2017-08-15,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",De las peticiones de informacion enviadas ya se cuenta con resp,closed
2017,3,2017-08-16,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",La solicitud de petición de la FGR pasó a trámite bajo la Refer,closed
2017,3,2017-08-25,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014","Hoy es el último día si se cumplen los plazos normales, me avis",closed
2017,3,2017-08-25,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014","Hoy es el último día si se cumplen los plazos normales, me avis",closed
2017,6,2017-08-31,ISSS.: Licitación pública 2Q17000037,El incumplimiento de las especificaciones técnicas implica la i,closed
2017,6,2017-08-31,ISSS.: Licitación pública 2Q17000037,Supuestas irregularidades en licitación pública 2Q17000037 “Adq,closed
2017,6,2017-09-07,ISSS.: Licitación pública 2Q17000037,Se recibió información de parte del usuario del caso en seguimi,closed
2017,6,2017-09-07,ISSS.: Licitación pública 2Q17000037,A consecuencia de la inconformidad por la adjudicación ilegal q,closed
2017,3,2017-09-07,"Guía ciudadana que explica los pasos a seguir para presentar quejas y avisos, elaborada a partir de lo establecido en uno de los compromisos del Plan de Acción de Gobierno Abierto 2013-2014",En fecha 25-08-2017 se notificó ampliación de plazo de 5 días h,closed
2017,4,2017-09-07,Cumplimiento de LAIP en algunas municipalidades e información sobre Plan El Salvador Seguro,Respecto a las municipalidades que se encontraban pendientes de,closed
2017,2,2017-09-11,PGR: Supuesta violación al derecho de acceso a la justicia,El usuario está denunciando actos que no son apegados a derecho,closed
2017,2,2017-09-11,PGR: Supuesta violación al derecho de acceso a la justicia,El usuario cuenta con pruebas en la que consta su enfermedad de,closed
2017,8,2017-09-12,"El/la Usuario manifiesta que el oficial de información de la Alcaldía de Cojutepeque  no les atiende las solicitudes y cuando se acercan a la Alcaldía no se encuentra, por lo que tiene duda de que esa persona sea la que tenga ese cargo, ya que en la municipalidad se están realizando proyectos pero la comuna no les quiere dar información de cuanto es el monto invertido y quienes lo financian.",El/la Usuario manifiesta que el oficial de información de la Al,closed
2017,7,2017-09-12,"El/la Usuario/a solicita saber a qué se debe el cobro excesivo que está haciendo la Alcaldía de Zacatecoluca en su municipio, ya que desde hace unos meses vienen sufriendo los habitantes este incremento, sin que la comuna les pueda dar una explicación, y que en su recibo de energía eléctrica le aparece un monto en mora, cuando han ido cumpliendo responsablemente con los pago. Además hace mención que USAID ha realizado varios proyectos con la Alcaldía de Zacatecoluca y les hicieron saber a ellos que no se le iba cobrar por ello, sin embargo al parecer por medio de la factura de energía eléctrica se los están cobrando a todos.",Lo que se le recomendó al/la usuario/a es que se acerque a la A,closed
2017,7,2017-09-12,"El/la Usuario/a solicita saber a qué se debe el cobro excesivo que está haciendo la Alcaldía de Zacatecoluca en su municipio, ya que desde hace unos meses vienen sufriendo los habitantes este incremento, sin que la comuna les pueda dar una explicación, y que en su recibo de energía eléctrica le aparece un monto en mora, cuando han ido cumpliendo responsablemente con los pago. Además hace mención que USAID ha realizado varios proyectos con la Alcaldía de Zacatecoluca y les hicieron saber a ellos que no se le iba cobrar por ello, sin embargo al parecer por medio de la factura de energía eléctrica se los están cobrando a todos.",El/la Usuario/a solicita saber a qué se debe el cobro excesivo,closed
2017,8,2017-09-12,"El/la Usuario manifiesta que el oficial de información de la Alcaldía de Cojutepeque  no les atiende las solicitudes y cuando se acercan a la Alcaldía no se encuentra, por lo que tiene duda de que esa persona sea la que tenga ese cargo, ya que en la municipalidad se están realizando proyectos pero la comuna no les quiere dar información de cuanto es el monto invertido y quienes lo financian.",Por lo que se le recomendó lo siguiente: denunciar las actuacio,closed
2017,8,2017-09-12,"El/la Usuario manifiesta que el oficial de información de la Alcaldía de Cojutepeque  no les atiende las solicitudes y cuando se acercan a la Alcaldía no se encuentra, por lo que tiene duda de que esa persona sea la que tenga ese cargo, ya que en la municipalidad se están realizando proyectos pero la comuna no les quiere dar información de cuanto es el monto invertido y quienes lo financian.","Por lo que pregunta, ¿Qué se hace en ese caso cuando el oficial",closed
2017,10,2017-09-13,ISSS: licitación pública 2Q17000037,Por medio de la presente quiero informarles que la posicion del,closed
2017,9,2017-09-13,ISSS: Licitación pública 2Q17000037,Por medio de la presente quiero informarles que la posicion del,closed
2017,11,2017-09-13,Actas municipios libres de violencia,"Estimado López, Director de FUNDE-ALAC.  A través del presente",closed
2017,11,2017-09-13,Actas municipios libres de violencia,"Sera un gusto atenderle, lo que debemos hacer es identificar la",closed
2017,12,2017-09-14,Alcaldía Municipal de Tanacatepeque: Información sobre ejecución de proyectos.,Se le hizo saber al/la usuario/a que tiene el Derecho de pedir,closed
2017,12,2017-09-14,Alcaldía Municipal de Tanacatepeque: Información sobre ejecución de proyectos.,El/la Usuario/a pregunta ¿Cómo hacer para que un oficial de inf,closed
2017,11,2017-09-14,Actas municipios libres de violencia,Ya tengo tanto la información como las alcaldías a las cuales s,closed
2017,13,2017-09-18,Documentos generados en ocasión de la truega entre pandillas,"Respuesta dada:  > Disculpa que hasta ahora te responda, pero",closed
2017,13,2017-09-18,Documentos generados en ocasión de la truega entre pandillas,"Se recibió el siguiente mensaje de parte del usuario:  > ""A t",closed
2017,14,2017-09-18,"Se recibió consulta de usuario sobre qué información pedir en relación con procesos de legalización de asociaciones juveniles. La organización del usuario está en proceso de legalización, pero consideran que el tiempo ha sido demasiado largo.  Al hacer las peticiones de información, el usuario solicita que sea por medio de la ALAC, debido a que su organización tiene en trámite el proceso de legalización ante el INJUVE y teme que por pedir ellos está información sobre proceso de legalización resulte afectado.  Se analizó el caso y se determinó que era factible (se anexa análisis y doc. relacionada).  Se formularon dos peticiones de información:  - [INJUVE](/requests/59c03792c56bd17eb27a5965) - [Ministerio de Gobernación](/requests/59c036eec56bd17eb27a57f7)",Se recibió consulta de usuario sobre qué información pedir en r,closed
2017,11,2017-09-20,Actas municipios libres de violencia,"Por supuesto puede contactarnos por lo siguientes medios, por t",closed
2017,13,2017-09-25,Documentos generados en ocasión de la truega entre pandillas,Se remitieron las solicitudes de información a las alcaldías co,closed
2017,13,2017-09-25,Documentos generados en ocasión de la truega entre pandillas,El usuario envió documentos relacionados con los municipios don,closed
2017,15,2017-10-02,Ubicación de camión supuestamente donado a alcaldía de Zaragoza,Se recibió consulta de líderes comunitarios del municipio de Za,closed
2017,16,2017-10-06,UES: Supuestas irregularidades en evaluación docente en Facultad de Ingeniería y Arquitectura,Docentes de la Universidad de El Salvador se presentaron para d,closed
2017,16,2017-10-06,UES: Supuestas irregularidades en evaluación docente en Facultad de Ingeniería y Arquitectura,Se sostuvo reunión con personeros del Instituto de Acceso a la,closed
2017,18,2017-10-08,Acceso a papeles de trabajo e Informe de la Gestión Financiera del Estado ejercicio fiscal 2016,Acceso a papeles de trabajo e informes de auditoría preliminare,closed
2017,19,2017-10-08,Acceso a información a ingresos y gastos de junta de agua en el municipio de Panchimalco,"En colaboración con ISD, se atendió consulta de lideres comunit",closed
2017,14,2017-10-09,"Se recibió consulta de usuario sobre qué información pedir en relación con procesos de legalización de asociaciones juveniles. La organización del usuario está en proceso de legalización, pero consideran que el tiempo ha sido demasiado largo.  Al hacer las peticiones de información, el usuario solicita que sea por medio de la ALAC, debido a que su organización tiene en trámite el proceso de legalización ante el INJUVE y teme que por pedir ellos está información sobre proceso de legalización resulte afectado.  Se analizó el caso y se determinó que era factible (se anexa análisis y doc. relacionada).  Se formularon dos peticiones de información:  - [INJUVE](/requests/59c03792c56bd17eb27a5965) - [Ministerio de Gobernación](/requests/59c036eec56bd17eb27a57f7)",Se recibió información de parte de INJUVE y de Gobernación con,closed
2017,20,2017-10-09,Planes municipales en San Pedro Perulapán,A petición del usuario se le redacto un escrito con el motivo d,closed
2017,20,2017-10-09,Planes municipales en San Pedro Perulapán,"Se recibió solicitud de pobladores de San Pedro Perulapán, por",closed
2017,21,2017-10-12,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas",**Acceso a información sobre listados de proyectos de construcc,closed
2017,22,2017-10-19,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas (mismo Ticket 21/2017)",**Amalia Carolina Lopez** En alcaldía municipal de santo Tomás,closed
2017,21,2017-10-19,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas",La usuaria envió el escrito de apelación el día 12/10/2017 al á,closed
2017,22,2017-10-19,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas (mismo Ticket 21/2017)",He solicitado al Instituto de Información Pública apelación par,closed
2017,23,2017-10-19,CNJ: Registro de abogados,La información ya fue entregada por el oficial de información d,closed
2017,21,2017-10-19,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas",Gracias por mantenernos informados de su caso del el escrito de,closed
2017,23,2017-10-19,CNJ: Registro de abogados,**Registro Especial de Abogados para Candidatos/as a Magistrado,closed
2017,22,2017-10-19,"Listados de proyectos de construcción y mejoramiento de calles incluidas en el POA 2018, municipio de Santo Tomas (mismo Ticket 21/2017)","Gracias por manteros informados del caso, además de informarle",closed
2017,16,2017-10-22,UES: Supuestas irregularidades en evaluación docente en Facultad de Ingeniería y Arquitectura,"Usuario remitió mensaje a Jefe de Fiscalización:  Date: Wed, 18",closed
2017,24,2017-10-23,"CCR: Informe de Auditorías a fundaciones que recibieron fondos del Presupuesto General de la Nación en los años 2015, 2016.",El usuario solicito la colaboración del Centro de Asesoría Lega,closed
2017,14,2017-10-24,"Se recibió consulta de usuario sobre qué información pedir en relación con procesos de legalización de asociaciones juveniles. La organización del usuario está en proceso de legalización, pero consideran que el tiempo ha sido demasiado largo.  Al hacer las peticiones de información, el usuario solicita que sea por medio de la ALAC, debido a que su organización tiene en trámite el proceso de legalización ante el INJUVE y teme que por pedir ellos está información sobre proceso de legalización resulte afectado.  Se analizó el caso y se determinó que era factible (se anexa análisis y doc. relacionada).  Se formularon dos peticiones de información:  - [INJUVE](/requests/59c03792c56bd17eb27a5965) - [Ministerio de Gobernación](/requests/59c036eec56bd17eb27a57f7)","Atendiendo a lo solicitado por el usuario, se remitió petición",closed
2017,24,2017-10-24,"CCR: Informe de Auditorías a fundaciones que recibieron fondos del Presupuesto General de la Nación en los años 2015, 2016.",Se remitió la petición de información a UAIP de la CCR. Y ya s,closed
2017,16,2017-10-26,UES: Supuestas irregularidades en evaluación docente en Facultad de Ingeniería y Arquitectura,Se agregan documentos de referencia. El reglamento y el manual,closed
2017,25,2017-10-30,"Vecinos solicitaron información de la empresa municipal de agua, Armenia",**Empresa de agua del municipio de Armenia**  Un grupo de vecin,closed
2017,26,2017-11-14,Rectificación de datos personales en Central de Riesgos de la Superintendencia del Sistema Financiero,Buenos días.  Informo que la Superintendencia del Sistema Finan,closed
2017,27,2017-11-20,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,El usuario llamó para proporcionar números de teléfonos de pers,closed
2017,27,2017-11-20,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,De la información brindada por el usuario se analizara el caso,closed
2017,27,2017-11-20,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,Al final cuando termino la reunión con su patrono y el Li. Quin,closed
2017,27,2017-11-20,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,Se presentó usuario **Luis Edgardo Hernández** a denunciar viol,closed
2017,26,2017-11-21,Rectificación de datos personales en Central de Riesgos de la Superintendencia del Sistema Financiero,"En relación con su consulta, lo que se puede hacer para obtener",closed
2017,27,2017-11-21,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,Teléfono celular del Sr. Luis Edgardo Hernández: 7770-6418,closed
2017,28,2017-11-21,Denuncias contra la administración UMR,Directivos de la Universidad Monseñor Romero han emprendido den,closed
2017,29,2017-11-27,Registro de candidatos a diputadas y diputados a la Asamblea Legislativa elecciones 2018,La solicitud de información ha sido recibida y admitida con ref,closed
2017,27,2017-11-27,Denuncia por violaciones a los derechos laborales e irregularidades en el Ministerio de Trabajo de Zacatecoluca,El usuario se comunicó con ALAC para brindar información nueva,closed
2017,14,2017-11-27,"Se recibió consulta de usuario sobre qué información pedir en relación con procesos de legalización de asociaciones juveniles. La organización del usuario está en proceso de legalización, pero consideran que el tiempo ha sido demasiado largo.  Al hacer las peticiones de información, el usuario solicita que sea por medio de la ALAC, debido a que su organización tiene en trámite el proceso de legalización ante el INJUVE y teme que por pedir ellos está información sobre proceso de legalización resulte afectado.  Se analizó el caso y se determinó que era factible (se anexa análisis y doc. relacionada).  Se formularon dos peticiones de información:  - [INJUVE](/requests/59c03792c56bd17eb27a5965) - [Ministerio de Gobernación](/requests/59c036eec56bd17eb27a57f7)",Estimado usuario:  El 14 de noviembre de 2017 INJUVE remitió la,closed
2017,29,2017-11-27,Registro de candidatos a diputadas y diputados a la Asamblea Legislativa elecciones 2018,**Registro de candidatos a diputadas y diputados a la Asamblea,closed
2017,16,2017-11-27,UES: Supuestas irregularidades en evaluación docente en Facultad de Ingeniería y Arquitectura,Usuario entrego documentación para el análisis de su caso,closed
2017,24,2017-11-29,"CCR: Informe de Auditorías a fundaciones que recibieron fondos del Presupuesto General de la Nación en los años 2015, 2016.",El día 10 noviembre se interpuso recurso de apelación por la in,closed
